Internship Id,Company name,Internship location,offline / online,stipend,skill required,experience,about the job,deadline for apply,number of opening,duration,Role,Website link of company (optional)
INT-1229,Ola,Bengaluru,Online,"₹39,255/month","SQL, Tableau, R, Pandas, Python",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-8-2025,12,12 months,Data Science,https://www.ola.com
INT-1230,Ola,Pune,Online,"₹33,911/month","Financial Analysis, Risk Assessment, Accounting, Financial Modeling",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-7-2025,24,4 months,Finance,https://www.ola.com
INT-1231,Ola,Bengaluru,Online,"₹34,976/month","Logistics, Process Improvement, Project Management",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-30-2025,19,12 months,Operations,https://www.ola.com
INT-1232,Ola,Bengaluru,Online,"₹40,751/month","JIRA, Manual Testing, Automation Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-30-2025,3,6 months,Quality Assurance,https://www.ola.com
INT-1233,Ola,Bengaluru,Offline,"₹39,704/month","PPC, SEO, Content Marketing, Google Analytics",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-10-2025,3,2 months,Digital Marketing,https://www.ola.com
INT-1234,Ola,Pune,Offline,"₹39,643/month","Employee Relations, Recruitment, Compliance, Training",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-13-2025,12,4 months,HR,https://www.ola.com
INT-1235,Ola,Pune,Online,"₹32,350/month","NLP, Deep Learning, PyTorch, Python",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",9-30-2025,19,3 months,Machine Learning,https://www.ola.com
INT-1236,Uber,Bengaluru,Online,"₹42,250/month","Java, SQL, JavaScript",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-17-2025,4,4 months,Software Development,https://www.uber.com
INT-1237,Uber,Hyderabad,Offline,"₹45,413/month","Sales, Negotiation, Client Relations, Market Analysis, CRM",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-22-2025,19,3 months,Business Development,https://www.uber.com
INT-1238,Uber,Hyderabad (Hybrid),Hybrid,"₹41,722/month","Employee Relations, Training, Compliance, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-18-2025,18,12 months,HR,https://www.uber.com
INT-1239,Uber,Hyderabad (Hybrid),Hybrid,"₹49,240/month","User Research, Adobe XD, Wireframing, Prototyping",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-3-2025,23,2 months,UI/UX Design,https://www.uber.com
INT-1240,Uber,Hyderabad,Online,"₹41,227/month","Accounting, Financial Modeling, Excel",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-30-2025,12,2 months,Finance,https://www.uber.com
INT-1241,Uber,Hyderabad,Online,"₹42,289/month","React, Java, Node.js, SQL, JavaScript",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",9-29-2025,12,12 months,Software Development,https://www.uber.com
INT-1242,Uber,Bengaluru (Hybrid),Hybrid,"₹47,335/month","Content Marketing, Google Analytics, SEO, PPC, Social Media",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-12-2025,10,4 months,Digital Marketing,https://www.uber.com
INT-1243,Uber,Hyderabad,Offline,"₹41,023/month","Pandas, Machine Learning, SQL, Tableau, Python",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-29-2025,24,12 months,Data Science,https://www.uber.com
INT-1244,Uber,Hyderabad (Hybrid),Hybrid,"₹46,352/month","Google Analytics, Social Media, SEO",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",11-5-2025,7,3 months,Digital Marketing,https://www.uber.com
INT-1245,Uber,Hyderabad (Hybrid),Hybrid,"₹45,051/month","Market Research, Wireframing, Analytics",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",11-11-2025,25,12 months,Product Management,https://www.uber.com
INT-1246,BYJU'S,Bengaluru (Hybrid),Hybrid,"₹29,718/month","Market Analysis, Negotiation, CRM, Client Relations, Sales",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-23-2025,4,4 months,Business Development,https://www.byjus.com
INT-1247,BYJU'S,Delhi (Hybrid),Hybrid,"₹22,542/month","Computer Vision, TensorFlow, NLP",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-30-2025,6,2 months,Machine Learning,https://www.byjus.com
INT-1248,BYJU'S,Delhi,Offline,"₹25,489/month","Bug Tracking, JIRA, Selenium, Manual Testing, Automation Testing",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",10-9-2025,22,6 months,Quality Assurance,https://www.byjus.com
INT-1249,BYJU'S,Bengaluru (Hybrid),Hybrid,"₹26,364/month","Copywriting, Social Media, Writing, Research, SEO",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-21-2025,20,6 months,Content Writing,https://www.byjus.com
INT-1250,BYJU'S,Delhi (Hybrid),Hybrid,"₹22,027/month","Social Media, Copywriting, Writing, Research",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-20-2025,16,3 months,Content Writing,https://www.byjus.com
INT-1251,BYJU'S,Delhi,Offline,"₹31,769/month","Machine Learning, SQL, Python",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-28-2025,12,12 months,Data Science,https://www.byjus.com
INT-1252,BYJU'S,Delhi,Online,"₹25,278/month","Analytics, Project Management, Process Improvement, Logistics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-20-2025,21,2 months,Operations,https://www.byjus.com
INT-1253,BYJU'S,Bengaluru,Online,"₹28,980/month","Automation Testing, Manual Testing, JIRA, Selenium",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",11-5-2025,25,4 months,Quality Assurance,https://www.byjus.com
INT-1254,BYJU'S,Delhi,Online,"₹23,349/month","Python, Computer Vision, NLP, Deep Learning, TensorFlow",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-7-2025,14,3 months,Machine Learning,https://www.byjus.com
INT-1255,BYJU'S,Bengaluru,Offline,"₹29,554/month","Writing, Social Media, Copywriting",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-19-2025,6,6 months,Content Writing,https://www.byjus.com
INT-1256,Vedantu,Delhi,Online,"₹29,950/month","Deep Learning, PyTorch, Computer Vision, Python",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-10-2025,10,12 months,Machine Learning,https://www.vedantu.com
INT-1257,Vedantu,Delhi,Offline,"₹22,462/month","Market Research, Analytics, Agile, Product Strategy, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-26-2025,19,12 months,Product Management,https://www.vedantu.com
INT-1258,Vedantu,Bengaluru,Online,"₹27,468/month","Python, Pandas, NumPy",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",11-10-2025,5,4 months,Data Science,https://www.vedantu.com
INT-1259,Vedantu,Delhi,Online,"₹29,763/month","Selenium, JIRA, Manual Testing, Bug Tracking, Automation Testing",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",11-12-2025,3,12 months,Quality Assurance,https://www.vedantu.com
INT-1260,Vedantu,Bengaluru (Hybrid),Hybrid,"₹29,586/month","Analytics, Project Management, Supply Chain",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-21-2025,7,2 months,Operations,https://www.vedantu.com
INT-1261,Vedantu,Delhi,Online,"₹23,269/month","Excel, Financial Modeling, Risk Assessment, Accounting, Financial Analysis",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-13-2025,18,2 months,Finance,https://www.vedantu.com
INT-1262,Vedantu,Delhi (Hybrid),Hybrid,"₹20,915/month","Automation Testing, JIRA, Bug Tracking",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-2-2025,24,4 months,Quality Assurance,https://www.vedantu.com
INT-1263,Vedantu,Delhi,Online,"₹25,923/month","Compliance, HR Analytics, Training, Employee Relations, Recruitment",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-20-2025,12,4 months,HR,https://www.vedantu.com
INT-1264,Vedantu,Delhi,Online,"₹26,865/month","SQL, Node.js, React, Python",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-6-2025,8,2 months,Software Development,https://www.vedantu.com
INT-1265,Vedantu,Delhi,Online,"₹28,522/month","Python, React, SQL, JavaScript",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-4-2025,11,2 months,Software Development,https://www.vedantu.com
INT-1266,Unacademy,Delhi (Hybrid),Hybrid,"₹29,484/month","Training, Recruitment, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-12-2025,4,6 months,HR,https://www.unacademy.com
INT-1267,Unacademy,Delhi,Online,"₹27,242/month","Machine Learning, NumPy, Python, Pandas, R",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-19-2025,19,12 months,Data Science,https://www.unacademy.com
INT-1268,Unacademy,Delhi,Online,"₹32,669/month","Content Marketing, PPC, Social Media, SEO",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-24-2025,24,2 months,Digital Marketing,https://www.unacademy.com
INT-1269,Unacademy,Bengaluru (Hybrid),Hybrid,"₹27,745/month","Automation Testing, Selenium, Manual Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-11-2025,24,3 months,Quality Assurance,https://www.unacademy.com
INT-1270,Unacademy,Delhi,Offline,"₹27,667/month","Financial Analysis, Risk Assessment, Accounting, Excel, Financial Modeling",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-11-2025,14,6 months,Finance,https://www.unacademy.com
INT-1271,Unacademy,Delhi (Hybrid),Hybrid,"₹32,844/month","Employee Relations, Training, Compliance, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",9-28-2025,3,3 months,HR,https://www.unacademy.com
INT-1272,Unacademy,Delhi,Online,"₹29,536/month","SQL, Pandas, NumPy, Tableau",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-17-2025,5,2 months,Data Science,https://www.unacademy.com
INT-1273,Unacademy,Bengaluru (Hybrid),Hybrid,"₹25,388/month","NumPy, Pandas, SQL, Machine Learning",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",11-8-2025,15,12 months,Data Science,https://www.unacademy.com
INT-1274,Unacademy,Delhi,Online,"₹29,515/month","Wireframing, Prototyping, Figma, User Research, Adobe XD",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-6-2025,12,3 months,UI/UX Design,https://www.unacademy.com
INT-1275,Freshworks,Bengaluru,Online,"₹32,876/month","Sales, Negotiation, Client Relations",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-15-2025,2,3 months,Business Development,https://www.freshworks.com
INT-1276,Freshworks,Bengaluru,Online,"₹39,418/month","Content Marketing, Google Analytics, SEO, Social Media",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",11-4-2025,24,2 months,Digital Marketing,https://www.freshworks.com
INT-1277,Freshworks,Bengaluru,Offline,"₹31,824/month","Analytics, Project Management, Process Improvement, Logistics",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-14-2025,8,4 months,Operations,https://www.freshworks.com
INT-1278,Freshworks,Bengaluru,Online,"₹39,417/month","Analytics, Product Strategy, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",11-5-2025,17,6 months,Product Management,https://www.freshworks.com
INT-1279,Freshworks,Chennai,Offline,"₹34,991/month","Copywriting, Research, Social Media, Writing, SEO",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-10-2025,19,12 months,Content Writing,https://www.freshworks.com
INT-1280,Freshworks,Chennai,Offline,"₹35,192/month","Market Research, Agile, Product Strategy, Wireframing, Analytics",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-30-2025,19,2 months,Product Management,https://www.freshworks.com
INT-1281,Freshworks,Chennai,Offline,"₹31,726/month","React, Python, Java, Node.js",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",11-6-2025,24,12 months,Software Development,https://www.freshworks.com
INT-1282,Freshworks,Chennai (Hybrid),Hybrid,"₹35,063/month","SEO, PPC, Content Marketing",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",9-28-2025,3,2 months,Digital Marketing,https://www.freshworks.com
INT-1283,Freshworks,Bengaluru (Hybrid),Hybrid,"₹39,669/month","Wireframing, Prototyping, User Research, Figma, Adobe XD",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-5-2025,18,2 months,UI/UX Design,https://www.freshworks.com
INT-1284,Freshworks,Bengaluru,Online,"₹39,598/month","Automation Testing, JIRA, Manual Testing, Selenium, Bug Tracking",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-29-2025,19,4 months,Quality Assurance,https://www.freshworks.com
INT-1285,Freshworks,Chennai,Offline,"₹36,322/month","Excel, Accounting, Financial Analysis, Financial Modeling, Risk Assessment",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-29-2025,12,6 months,Finance,https://www.freshworks.com
INT-1286,Zoho,Chennai (Hybrid),Hybrid,"₹30,411/month","R, NumPy, Pandas, Machine Learning",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-10-2025,20,2 months,Data Science,https://www.zoho.com
INT-1287,Zoho,Chennai,Online,"₹25,716/month","Negotiation, Sales, Market Analysis, Client Relations, CRM",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-30-2025,5,6 months,Business Development,https://www.zoho.com
INT-1288,Zoho,Bengaluru,Offline,"₹29,705/month","Training, Employee Relations, Compliance",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-5-2025,16,4 months,HR,https://www.zoho.com
INT-1289,Zoho,Bengaluru,Offline,"₹27,303/month","User Research, Prototyping, Adobe XD, Wireframing",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-5-2025,8,4 months,UI/UX Design,https://www.zoho.com
INT-1290,Zoho,Bengaluru,Online,"₹33,718/month","Excel, Accounting, Financial Analysis, Risk Assessment",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-3-2025,6,2 months,Finance,https://www.zoho.com
INT-1291,Zoho,Bengaluru (Hybrid),Hybrid,"₹25,169/month","Automation Testing, Bug Tracking, JIRA, Selenium, Manual Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",9-30-2025,15,6 months,Quality Assurance,https://www.zoho.com
INT-1292,Zoho,Chennai (Hybrid),Hybrid,"₹28,051/month","CRM, Negotiation, Market Analysis",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-14-2025,8,6 months,Business Development,https://www.zoho.com
INT-1293,Zoho,Chennai (Hybrid),Hybrid,"₹34,423/month","Client Relations, CRM, Sales, Negotiation, Market Analysis",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-31-2025,7,4 months,Business Development,https://www.zoho.com
INT-1294,Zoho,Bengaluru,Offline,"₹34,325/month","Wireframing, User Research, Figma",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-5-2025,16,4 months,UI/UX Design,https://www.zoho.com
INT-1295,Atlassian,Bengaluru (Hybrid),Hybrid,"₹58,553/month","SEO, Content Marketing, PPC, Social Media",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-6-2025,12,6 months,Digital Marketing,https://www.atlassian.com
INT-1296,Atlassian,Bengaluru,Online,"₹56,353/month","Social Media, PPC, Google Analytics",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-6-2025,22,6 months,Digital Marketing,https://www.atlassian.com
INT-1297,Atlassian,Sydney,Online,"₹52,257/month","Figma, Wireframing, User Research, Prototyping, Adobe XD",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-30-2025,4,3 months,UI/UX Design,https://www.atlassian.com
INT-1298,Atlassian,Bengaluru,Online,"₹54,298/month","PPC, Social Media, SEO, Google Analytics, Content Marketing",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-6-2025,6,6 months,Digital Marketing,https://www.atlassian.com
INT-1299,Atlassian,Sydney,Online,"₹59,110/month","Wireframing, Adobe XD, Figma, Prototyping",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",9-30-2025,4,4 months,UI/UX Design,https://www.atlassian.com
INT-1300,Atlassian,Bengaluru,Online,"₹59,461/month","SQL, Pandas, NumPy, R, Machine Learning",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-24-2025,24,12 months,Data Science,https://www.atlassian.com
INT-1301,Atlassian,Sydney (Hybrid),Hybrid,"₹50,120/month","Supply Chain, Process Improvement, Analytics, Logistics",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-12-2025,13,4 months,Operations,https://www.atlassian.com
INT-1302,Atlassian,Bengaluru,Online,"₹55,896/month","Employee Relations, Training, Recruitment, Compliance, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-28-2025,15,4 months,HR,https://www.atlassian.com
INT-1303,Atlassian,Sydney (Hybrid),Hybrid,"₹51,472/month","Bug Tracking, Selenium, JIRA, Automation Testing, Manual Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-13-2025,19,4 months,Quality Assurance,https://www.atlassian.com
INT-1304,Atlassian,Bengaluru (Hybrid),Hybrid,"₹58,051/month","Risk Assessment, Excel, Accounting, Financial Analysis",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-18-2025,9,12 months,Finance,https://www.atlassian.com
INT-1305,DRDO,Bengaluru,Online,"₹15,414/month","Financial Analysis, Risk Assessment, Accounting, Excel, Financial Modeling",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-7-2025,11,4 months,Finance,https://www.drdo.gov.in
INT-1306,DRDO,Bengaluru,Offline,"₹15,936/month","Risk Assessment, Financial Modeling, Accounting, Financial Analysis",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-6-2025,9,2 months,Finance,https://www.drdo.gov.in
INT-1307,DRDO,Hyderabad,Offline,"₹16,996/month","Market Research, Analytics, Product Strategy, Agile",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-27-2025,9,3 months,Product Management,https://www.drdo.gov.in
INT-1308,DRDO,Hyderabad (Hybrid),Hybrid,"₹16,165/month","Figma, Adobe XD, User Research, Prototyping",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-9-2025,2,2 months,UI/UX Design,https://www.drdo.gov.in
INT-1309,DRDO,Delhi,Online,"₹18,451/month","Supply Chain, Analytics, Process Improvement, Logistics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-18-2025,19,12 months,Operations,https://www.drdo.gov.in
INT-1310,DRDO,Hyderabad,Online,"₹17,266/month","Bug Tracking, Automation Testing, Selenium",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-9-2025,11,2 months,Quality Assurance,https://www.drdo.gov.in
INT-1311,DRDO,Hyderabad (Hybrid),Hybrid,"₹16,065/month","Compliance, Training, Employee Relations",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",11-11-2025,22,6 months,HR,https://www.drdo.gov.in
INT-1312,DRDO,Delhi,Offline,"₹16,933/month","Financial Modeling, Financial Analysis, Accounting",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-5-2025,5,6 months,Finance,https://www.drdo.gov.in
INT-1313,DRDO,Delhi,Offline,"₹19,883/month","Prototyping, User Research, Wireframing, Figma",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-1-2025,17,2 months,UI/UX Design,https://www.drdo.gov.in
INT-1314,ISRO,Thiruvananthapuram,Online,"₹21,635/month","Content Marketing, SEO, Social Media, PPC",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-17-2025,7,12 months,Digital Marketing,https://www.isro.gov.in
INT-1315,ISRO,Thiruvananthapuram,Online,"₹18,802/month","Logistics, Project Management, Supply Chain, Analytics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",11-2-2025,15,4 months,Operations,https://www.isro.gov.in
INT-1316,ISRO,Thiruvananthapuram,Online,"₹19,872/month","Process Improvement, Supply Chain, Logistics, Project Management",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-24-2025,25,4 months,Operations,https://www.isro.gov.in
INT-1317,ISRO,Thiruvananthapuram,Offline,"₹21,722/month","Java, Python, Node.js",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-5-2025,19,12 months,Software Development,https://www.isro.gov.in
INT-1318,ISRO,Thiruvananthapuram,Online,"₹20,874/month","SEO, Content Marketing, Google Analytics, PPC",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-28-2025,19,2 months,Digital Marketing,https://www.isro.gov.in
INT-1319,ISRO,Thiruvananthapuram (Hybrid),Hybrid,"₹20,564/month","SQL, JavaScript, Python, Node.js, React",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",11-9-2025,13,2 months,Software Development,https://www.isro.gov.in
INT-1320,ISRO,Bengaluru (Hybrid),Hybrid,"₹23,344/month","Analytics, Agile, Product Strategy, Market Research",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-10-2025,14,2 months,Product Management,https://www.isro.gov.in
INT-1321,ISRO,Thiruvananthapuram (Hybrid),Hybrid,"₹24,199/month","Python, NumPy, R, Pandas, Tableau",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-9-2025,17,12 months,Data Science,https://www.isro.gov.in
INT-1322,ISRO,Thiruvananthapuram,Offline,"₹18,268/month","CRM, Client Relations, Sales, Negotiation",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-10-2025,25,2 months,Business Development,https://www.isro.gov.in
INT-1323,ISRO,Thiruvananthapuram,Online,"₹22,483/month","Wireframing, Adobe XD, Prototyping, Figma, User Research",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-4-2025,19,12 months,UI/UX Design,https://www.isro.gov.in
INT-1324,MNRE,Delhi,Offline,"₹16,157/month","Logistics, Supply Chain, Process Improvement, Project Management, Analytics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-22-2025,24,6 months,Operations,https://www.mnre.gov.in
INT-1325,MNRE,Mumbai,Offline,"₹16,597/month","PyTorch, TensorFlow, Computer Vision, NLP, Python",Academic projects in ML,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-29-2025,10,12 months,Machine Learning,https://www.mnre.gov.in
INT-1326,MNRE,Mumbai,Online,"₹16,421/month","PPC, SEO, Content Marketing",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",11-6-2025,15,4 months,Digital Marketing,https://www.mnre.gov.in
INT-1327,MNRE,Delhi (Hybrid),Hybrid,"₹15,284/month","User Research, Adobe XD, Figma, Prototyping",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-6-2025,16,3 months,UI/UX Design,https://www.mnre.gov.in
INT-1328,MNRE,Mumbai,Offline,"₹15,066/month","PyTorch, TensorFlow, NLP, Computer Vision, Deep Learning",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-29-2025,16,12 months,Machine Learning,https://www.mnre.gov.in
INT-1329,MNRE,Mumbai,Offline,"₹16,873/month","Risk Assessment, Financial Analysis, Accounting",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-8-2025,6,6 months,Finance,https://www.mnre.gov.in
INT-1330,MNRE,Mumbai,Offline,"₹17,291/month","Negotiation, Sales, Client Relations",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-9-2025,16,6 months,Business Development,https://www.mnre.gov.in
INT-1331,MNRE,Delhi,Online,"₹17,971/month","Client Relations, Sales, Negotiation, CRM",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-8-2025,16,3 months,Business Development,https://www.mnre.gov.in
INT-1332,MNRE,Mumbai (Hybrid),Hybrid,"₹17,103/month","Process Improvement, Analytics, Logistics, Supply Chain, Project Management",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",11-6-2025,10,4 months,Operations,https://www.mnre.gov.in
INT-1333,MNRE,Mumbai,Offline,"₹17,873/month","Financial Modeling, Excel, Financial Analysis, Risk Assessment",0-1 years,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-11-2025,22,3 months,Finance,https://www.mnre.gov.in
INT-1334,SBI,Chennai,Offline,"₹13,503/month","Copywriting, Social Media, SEO",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-24-2025,14,6 months,Content Writing,https://www.sbi.co.in
INT-1335,SBI,Delhi (Hybrid),Hybrid,"₹16,467/month","Python, SQL, Java, Node.js",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-15-2025,22,4 months,Software Development,https://www.sbi.co.in
INT-1336,SBI,Delhi,Online,"₹15,446/month","Node.js, SQL, React",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",11-11-2025,21,2 months,Software Development,https://www.sbi.co.in
INT-1337,SBI,Mumbai,Online,"₹13,767/month","Writing, Social Media, Copywriting",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",9-29-2025,5,6 months,Content Writing,https://www.sbi.co.in
INT-1338,SBI,Delhi,Online,"₹17,290/month","Google Analytics, PPC, SEO, Content Marketing",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",11-1-2025,23,2 months,Digital Marketing,https://www.sbi.co.in
INT-1339,SBI,Delhi,Offline,"₹16,969/month","Automation Testing, Selenium, Manual Testing, Bug Tracking",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",11-12-2025,9,3 months,Quality Assurance,https://www.sbi.co.in
INT-1340,SBI,Mumbai,Offline,"₹16,643/month","Automation Testing, Manual Testing, Bug Tracking",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-6-2025,24,2 months,Quality Assurance,https://www.sbi.co.in
INT-1341,SBI,Delhi,Online,"₹14,556/month","Process Improvement, Analytics, Logistics, Supply Chain, Project Management",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",11-12-2025,19,6 months,Operations,https://www.sbi.co.in
INT-1342,SBI,Chennai,Online,"₹14,846/month","Adobe XD, Figma, User Research",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-7-2025,6,12 months,UI/UX Design,https://www.sbi.co.in
